tweet_id,tweet_created_at,tweet_raw,tweet_retweet_count,tweet_favorite_count,Search_keyword,Date
1361644136101724161,2021-02-16 11:50:34,b'@thejbird904 Totally random luchadore battle royal at the end of WCW Monday Nitro. Forgot the year. Insane epicness',0,0,Royal,2021-02-16 11:52
1361644113075052553,2021-02-16 11:50:29,"b""#Otd 1890: Death #Dublin's Sir Robert Kane, KBE. Chemist eg studied acids, ammonia! National Commissioner for Education.\xf0\x9f\x91\xa8\xe2\x80\x8d\xf0\x9f\x8e\x93@CMU_TCD. Founded Dublin Journal of Medical Science! 1st President @UCC! 1st Chancellor Royal Uni of Ireland! Member @RIAdawson. \xf0\x9f\x91\xa8\xe2\x80\x8d\xf0\x9f\x94\xac\xf0\x9f\xa7\xaa https://t.co/xZyJi1XNcK https://t.co/P3RKcBgbJM""",0,0,Royal,2021-02-16 11:52
1361644081345142790,2021-02-16 11:50:21,"b""@FENNERGY Cas your ears aren't even /that/ big.\n\nIt should be YOU who is petting MY Royal ears!""",0,0,Royal,2021-02-16 11:52
1361644049598451714,2021-02-16 11:50:14,b'No post in over a week due to Royal Mail staffing shortages https://t.co/CTpmvmXcfA @JohnCryerMP @Jcblackman @dhmt93 @CllrRosaGomez @Beverley_E18 @wavidi',0,0,Royal,2021-02-16 11:52
1361644041847386116,2021-02-16 11:50:12,"b""Prince Harry sparks 'serious' constitutional crisis fear as Duke 'breath away' from throne  https://t.co/27WaY1Ntyo https://t.co/NqoLOsazoa""",0,0,Royal,2021-02-16 11:52
1361644041515974659,2021-02-16 11:50:12,b'@WBAParksie7374 @GNev2 Hope they expose the German royal family',0,0,Royal,2021-02-16 11:52
1361643997282918401,2021-02-16 11:50:01,"b'If the Royal family were all wiped out by a mysterious virus that only attacked Royals apart from ""Prince Andrew"" who was sunning himself on Peado Island, would you want him want him to be King like the Church and the house of Lords or to be locked away in the Tower? https://t.co/EBqGL6BFYa'",0,0,Royal,2021-02-16 11:52
1361643993197662208,2021-02-16 11:50:00,"b'I don\xe2\x80\x99t get why people hate her sm?! She\xe2\x80\x99s lovely! The only people I like that were part of the royal family are Diana, Harry and Meghan so... the things you read about her in the papers and on here is absolutely vile. https://t.co/G9M6hW3afY'",0,0,Royal,2021-02-16 11:52
1361643990978879491,2021-02-16 11:50:00,b'Is your address data sharper than a shark tooth? #DataWithByte Read our news story and speak to us about increasing your data frequency! https://t.co/ZZFDT7qe6N #Postcode #Address #Data #Tuesday https://t.co/7SZwshS5lT',0,0,Royal,2021-02-16 11:52
1361643978404352005,2021-02-16 11:49:57,b'@OsmondAdan Prince Harry dressed as a nazi for a fancy dress party! Hardly appropriate for a senior member of the royal family.',0,0,Royal,2021-02-16 11:52
